launch_id,mission_id,launch_date,year,quarter,launch_site,country,vehicle,payload_mass_kg,mission_type,success,cost_million_usd,orbit
LCH-0000860,MSN-0000860,2006-02-13,2006,1,Guiana Space Centre,ESA,Falcon 9,664.4,Technology Demonstration,False,1.52,GEO
LCH-0000861,MSN-0000861,1990-12-22,1990,4,Guiana Space Centre,ESA,PSLV,1726.4,Weather,True,1.62,GEO
LCH-0000862,MSN-0000862,1997-01-14,1997,1,Plesetsk Cosmodrome,Russia,Ariane 6,1729.6,Earth Observation,True,2.33,LEO
LCH-0000863,MSN-0000863,2019-02-10,2019,1,Guiana Space Centre,ESA,Angara,2990.7,Deep Space,True,3.12,GEO
LCH-0000864,MSN-0000864,2011-01-15,2011,1,Cape Canaveral,USA,H3,4133.2,Military Reconnaissance,True,8.43,SSO
LCH-0000865,MSN-0000865,1961-12-06,1961,4,Plesetsk Cosmodrome,Russia,Long March 5,6871.7,Communications,True,10.49,LEO
LCH-0000866,MSN-0000866,2016-05-08,2016,2,Kennedy Space Center,UK,Ariane 6,2053.6,Earth Observation,True,5.61,LEO
LCH-0000867,MSN-0000867,2024-11-27,2024,4,Taiyuan Satellite Launch Center,China,Ariane 5,3705.6,Communications,True,2.88,LEO
LCH-0000868,MSN-0000868,2001-06-02,2001,2,Cape Canaveral,USA,Electron,2178.5,Earth Observation,False,6.44,GEO
LCH-0000869,MSN-0000869,2004-11-23,2004,4,Cape Canaveral,USA,Antares,2149.3,Navigation,True,5.6,LEO
LCH-0000870,MSN-0000870,1979-01-05,1979,1,Baikonur Cosmodrome,Russia,Antares,50.0,Earth Observation,True,0.03,LEO
LCH-0000871,MSN-0000871,2009-01-14,2009,1,Tanegashima Space Center,Japan,Ariane 6,651.9,Navigation,True,1.51,LEO
LCH-0000872,MSN-0000872,1980-05-23,1980,2,Vandenberg SFB,USA,Soyuz,5298.7,Communications,True,12.01,GEO
LCH-0000873,MSN-0000873,2005-03-07,2005,1,Tanegashima Space Center,Japan,H-IIA,590.3,Technology Demonstration,True,1.76,GEO
LCH-0000874,MSN-0000874,2010-02-28,2010,1,Palmachim Air Base,Israel,Falcon Heavy,2326.0,Navigation,True,2.45,LEO
LCH-0000875,MSN-0000875,2001-01-10,2001,1,Vostochny Cosmodrome,Russia,Delta IV,1358.1,Earth Observation,True,3.72,LEO
LCH-0000876,MSN-0000876,2012-06-07,2012,2,Kennedy Space Center,USA,Angara,2230.3,Earth Observation,True,3.52,LEO
LCH-0000877,MSN-0000877,1996-02-04,1996,1,Cape Canaveral,USA,NURI,491.4,Navigation,True,1.24,LEO
LCH-0000878,MSN-0000878,2009-04-21,2009,2,Satish Dhawan Space Centre,India,Proton-M,1227.6,Science,True,1.01,LEO
LCH-0000879,MSN-0000879,2009-11-27,2009,4,Satish Dhawan Space Centre,India,Vulcan Centaur,1156.4,Earth Observation,False,1.45,LEO
LCH-0000880,MSN-0000880,2006-03-02,2006,1,Baikonur Cosmodrome,Russia,Antares,1276.1,Weather,True,3.48,LEO
LCH-0000881,MSN-0000881,2007-06-12,2007,2,Satish Dhawan Space Centre,India,Ariane 5,4188.1,Deep Space,True,3.84,GEO
LCH-0000882,MSN-0000882,1993-10-02,1993,4,Cape Canaveral,USA,Other,9440.1,Supply/Resupply,True,20.88,LEO
LCH-0000883,MSN-0000883,1984-09-13,1984,3,Kennedy Space Center,France,GSLV,6707.2,Supply/Resupply,True,12.94,MEO
LCH-0000884,MSN-0000884,2022-09-15,2022,3,Wenchang Space Launch Site,China,PSLV,1871.5,Earth Observation,True,4.92,MEO
LCH-0000885,MSN-0000885,1980-04-02,1980,2,Vandenberg SFB,USA,GSLV,6098.6,Communications,False,7.17,LEO
LCH-0000886,MSN-0000886,1990-04-18,1990,2,Satish Dhawan Space Centre,India,Delta IV,1923.9,Science,True,2.52,LEO
LCH-0000887,MSN-0000887,1991-03-14,1991,1,Al Anbar,UAE,H3,6792.8,Military Reconnaissance,True,7.12,LEO
LCH-0000888,MSN-0000888,2024-09-22,2024,3,Kennedy Space Center,Italy,H-IIA,1396.3,Earth Observation,True,4.0,LEO
LCH-0000889,MSN-0000889,2009-04-27,2009,2,Vandenberg SFB,USA,Ariane 5,1660.0,Science,True,1.48,LEO
LCH-0000890,MSN-0000890,1998-08-03,1998,3,Cape Canaveral,USA,Ariane 6,893.3,Technology Demonstration,True,0.87,LEO
LCH-0000891,MSN-0000891,2011-01-10,2011,1,Plesetsk Cosmodrome,Russia,Electron,688.3,Technology Demonstration,True,0.47,SSO
LCH-0000892,MSN-0000892,2023-02-24,2023,1,Kennedy Space Center,USA,PSLV,1220.3,Military Reconnaissance,True,2.45,LEO
LCH-0000893,MSN-0000893,2018-11-02,2018,4,Plesetsk Cosmodrome,Russia,Antares,1884.0,Earth Observation,True,4.67,LEO
LCH-0000894,MSN-0000894,2007-06-28,2007,2,Vandenberg SFB,USA,Other,1339.1,Weather,True,3.66,LEO
LCH-0000895,MSN-0000895,2004-04-02,2004,2,Tanegashima Space Center,Japan,GSLV,4286.6,Communications,True,7.98,GEO
LCH-0000896,MSN-0000896,2000-01-08,2000,1,Kennedy Space Center,USA,Falcon 9,3264.0,Military Reconnaissance,True,6.98,LEO
LCH-0000897,MSN-0000897,1999-12-27,1999,4,Vandenberg SFB,USA,Delta IV,5423.9,Military Reconnaissance,False,7.56,GEO
LCH-0000898,MSN-0000898,2022-02-02,2022,1,Wenchang Space Launch Site,China,H3,1466.9,Earth Observation,True,2.93,LEO
LCH-0000899,MSN-0000899,2012-05-20,2012,2,Guiana Space Centre,ESA,Angara,2915.1,Earth Observation,True,7.37,LEO
LCH-0000900,MSN-0000900,1960-03-25,1960,1,Guiana Space Centre,ESA,Shavit,2582.4,Earth Observation,True,5.95,LEO
LCH-0000901,MSN-0000901,1974-10-14,1974,4,Satish Dhawan Space Centre,India,Proton-M,1814.8,Navigation,False,2.36,LEO
LCH-0000902,MSN-0000902,2000-11-11,2000,4,Vostochny Cosmodrome,Russia,Antares,640.5,Technology Demonstration,True,0.93,SSO
LCH-0000903,MSN-0000903,2004-09-27,2004,3,Wenchang Space Launch Site,China,Soyuz,977.2,Science,True,2.21,LEO
LCH-0000904,MSN-0000904,2024-01-12,2024,1,Cape Canaveral,USA,GSLV,1092.1,Earth Observation,True,0.71,LEO
LCH-0000905,MSN-0000905,2020-03-10,2020,1,Baikonur Cosmodrome,Russia,Ariane 5,5422.6,Deep Space,True,5.57,LEO
LCH-0000906,MSN-0000906,1980-12-23,1980,4,Vandenberg SFB,USA,Antares,135.8,Weather,True,0.19,LEO
LCH-0000907,MSN-0000907,1975-10-28,1975,4,Guiana Space Centre,ESA,Electron,419.4,Technology Demonstration,True,0.37,LEO
LCH-0000908,MSN-0000908,2015-12-10,2015,4,Kennedy Space Center,USA,Ariane 6,1351.9,Weather,True,3.03,LEO
LCH-0000909,MSN-0000909,2020-01-20,2020,1,Cape Canaveral,USA,Electron,3009.2,Earth Observation,True,5.67,GEO
LCH-0000910,MSN-0000910,2005-12-08,2005,4,Tanegashima Space Center,Japan,Long March 7,4258.0,Military Reconnaissance,True,7.68,HEO
LCH-0000911,MSN-0000911,1988-10-02,1988,4,Kennedy Space Center,Brazil,Soyuz,2461.2,Earth Observation,True,6.25,LEO
LCH-0000912,MSN-0000912,2011-07-06,2011,3,Plesetsk Cosmodrome,Russia,Falcon Heavy,95.1,Communications,True,0.11,SSO
LCH-0000913,MSN-0000913,2017-06-01,2017,2,Vandenberg SFB,USA,Soyuz,4289.8,Communications,True,4.16,LEO
LCH-0000914,MSN-0000914,1990-02-19,1990,1,Cape Canaveral,USA,H-IIA,3810.2,Military Reconnaissance,False,2.34,LEO
LCH-0000915,MSN-0000915,1963-06-25,1963,2,Kennedy Space Center,USA,Angara,6262.0,Supply/Resupply,True,18.38,GTO
LCH-0000916,MSN-0000916,2000-12-17,2000,4,Guiana Space Centre,ESA,Delta IV,1499.1,Earth Observation,True,2.95,GEO
LCH-0000917,MSN-0000917,2019-05-06,2019,2,Baikonur Cosmodrome,Russia,Antares,2910.8,Science,False,7.89,GEO
LCH-0000918,MSN-0000918,2016-03-17,2016,1,Tanegashima Space Center,Japan,PSLV,2399.4,Science,True,3.88,Lunar
LCH-0000919,MSN-0000919,2010-07-02,2010,3,Vandenberg SFB,USA,Other,3958.3,Communications,True,11.46,MEO
LCH-0000920,MSN-0000920,1978-01-05,1978,1,Taiyuan Satellite Launch Center,China,Angara,23552.6,Space Station,False,41.15,GEO
LCH-0000921,MSN-0000921,1993-02-09,1993,1,Plesetsk Cosmodrome,Russia,H-IIA,1925.8,Earth Observation,True,5.71,LEO
LCH-0000922,MSN-0000922,2002-03-04,2002,1,Vandenberg SFB,Brazil,H-IIA,1367.1,Weather,True,2.05,GEO
LCH-0000923,MSN-0000923,1981-06-17,1981,2,Cape Canaveral,France,H3,1876.4,Military Reconnaissance,True,5.05,GTO
LCH-0000924,MSN-0000924,2024-01-24,2024,1,Unknown Launch Site,Other,Soyuz,2363.6,Earth Observation,True,6.22,GEO
LCH-0000925,MSN-0000925,1999-02-08,1999,1,Cape Canaveral,USA,Long March 5,1139.5,Earth Observation,True,3.13,SSO
LCH-0000926,MSN-0000926,2015-07-25,2015,3,Vostochny Cosmodrome,Russia,Long March 7,852.4,Earth Observation,True,1.16,LEO
LCH-0000927,MSN-0000927,2015-02-09,2015,1,Taiyuan Satellite Launch Center,China,Ariane 5,2003.2,Earth Observation,True,3.85,LEO
LCH-0000928,MSN-0000928,1973-06-26,1973,2,Unknown Launch Site,Other,Long March 7,1667.4,Weather,True,4.45,Heliocentric
LCH-0000929,MSN-0000929,1992-11-06,1992,4,Cape Canaveral,Canada,Atlas V,481.5,Technology Demonstration,False,1.29,LEO
LCH-0000930,MSN-0000930,1991-01-03,1991,1,Xichang Satellite Launch Center,China,Long March 7,622.5,Technology Demonstration,True,0.62,LEO
LCH-0000931,MSN-0000931,2006-03-23,2006,1,Al Anbar,UAE,Long March 7,1721.1,Navigation,True,1.2,LEO
LCH-0000932,MSN-0000932,1995-12-24,1995,4,Guiana Space Centre,ESA,Long March 2,963.3,Science,False,1.68,LEO
LCH-0000933,MSN-0000933,2012-05-17,2012,2,Vandenberg SFB,USA,Falcon 9,2124.7,Weather,True,6.21,Heliocentric
LCH-0000934,MSN-0000934,2024-07-23,2024,3,Vandenberg SFB,USA,GSLV,949.7,Earth Observation,True,1.3,MEO
LCH-0000935,MSN-0000935,2008-01-12,2008,1,Kennedy Space Center,Canada,Long March 3,9881.2,Supply/Resupply,True,20.97,LEO
LCH-0000936,MSN-0000936,1997-09-14,1997,3,Baikonur Cosmodrome,Russia,PSLV,3571.9,Communications,True,5.88,Heliocentric
LCH-0000937,MSN-0000937,1984-07-13,1984,3,Baikonur Cosmodrome,Russia,Angara,1436.4,Science,True,4.29,SSO
LCH-0000938,MSN-0000938,2011-10-14,2011,4,Tanegashima Space Center,Japan,Delta IV,705.0,Earth Observation,True,1.47,GEO
LCH-0000939,MSN-0000939,2012-07-07,2012,3,Jiuquan Satellite Launch Center,China,Soyuz,12662.6,Crewed Mission,True,17.43,MEO
LCH-0000940,MSN-0000940,2021-11-23,2021,4,Satish Dhawan Space Centre,India,Long March 5,1874.3,Navigation,True,3.32,LEO
LCH-0000941,MSN-0000941,1994-07-22,1994,3,Kennedy Space Center,USA,Soyuz,1995.1,Science,True,5.19,LEO
LCH-0000942,MSN-0000942,1995-03-19,1995,1,Xichang Satellite Launch Center,China,Long March 7,1130.3,Weather,False,2.31,LEO
LCH-0000943,MSN-0000943,2022-07-05,2022,3,Vostochny Cosmodrome,Russia,Shavit,1388.6,Earth Observation,True,2.21,LEO
LCH-0000944,MSN-0000944,2005-11-19,2005,4,Cape Canaveral,USA,Long March 5,9968.4,Crewed Mission,True,25.85,SSO
LCH-0000945,MSN-0000945,1977-01-14,1977,1,Vandenberg SFB,USA,Falcon 9,4604.2,Communications,False,8.88,GEO
LCH-0000946,MSN-0000946,2024-11-21,2024,4,Kennedy Space Center,USA,Long March 3,460.6,Technology Demonstration,True,0.57,LEO
LCH-0000947,MSN-0000947,2017-07-25,2017,3,Jiuquan Satellite Launch Center,China,Proton-M,4269.5,Communications,True,3.32,GEO
LCH-0000948,MSN-0000948,1982-05-06,1982,2,Palmachim Air Base,Israel,Atlas V,3347.4,Earth Observation,False,4.94,LEO
LCH-0000949,MSN-0000949,1975-11-03,1975,4,Baikonur Cosmodrome,Russia,Vulcan Centaur,1008.5,Earth Observation,False,0.96,GEO
LCH-0000950,MSN-0000950,2008-10-28,2008,4,Vandenberg SFB,USA,Falcon Heavy,1989.9,Earth Observation,True,3.4,LEO
LCH-0000951,MSN-0000951,1984-12-09,1984,4,Wenchang Space Launch Site,China,Delta IV,1991.0,Science,True,2.07,LEO
LCH-0000952,MSN-0000952,1968-03-08,1968,1,Baikonur Cosmodrome,Russia,Atlas V,4079.7,Military Reconnaissance,False,4.83,MEO
LCH-0000953,MSN-0000953,2014-11-10,2014,4,Vandenberg SFB,USA,Ariane 5,541.1,Earth Observation,True,0.61,MEO
LCH-0000954,MSN-0000954,2014-07-04,2014,3,Vandenberg SFB,USA,H-IIA,3047.4,Deep Space,True,7.57,SSO
LCH-0000955,MSN-0000955,2020-07-20,2020,3,Cape Canaveral,Canada,Proton-M,1216.5,Navigation,True,1.75,SSO
LCH-0000956,MSN-0000956,1984-01-17,1984,1,Xichang Satellite Launch Center,China,Proton-M,736.8,Earth Observation,True,1.1,GEO
LCH-0000957,MSN-0000957,2001-03-12,2001,1,Vandenberg SFB,USA,Soyuz,12338.5,Crewed Mission,True,6.47,LEO
LCH-0000958,MSN-0000958,1988-10-26,1988,4,Guiana Space Centre,ESA,Long March 2,258.7,Technology Demonstration,True,0.31,SSO
LCH-0000959,MSN-0000959,2007-12-20,2007,4,Kennedy Space Center,USA,NURI,2154.0,Earth Observation,True,5.46,LEO
LCH-0000960,MSN-0000960,2004-01-09,2004,1,Kennedy Space Center,USA,Long March 7,977.1,Earth Observation,True,1.29,LEO
LCH-0000961,MSN-0000961,1993-11-26,1993,4,Baikonur Cosmodrome,Russia,H-IIA,2425.7,Science,False,1.44,Heliocentric
LCH-0000962,MSN-0000962,1996-01-03,1996,1,Jiuquan Satellite Launch Center,China,Ariane 6,1411.9,Science,True,1.68,LEO
LCH-0000963,MSN-0000963,2007-06-16,2007,2,Satish Dhawan Space Centre,India,H3,3276.6,Communications,True,8.54,LEO
LCH-0000964,MSN-0000964,1989-01-05,1989,1,Naro Space Center,South Korea,Delta IV,3694.4,Earth Observation,False,3.94,Lunar
LCH-0000965,MSN-0000965,2018-09-01,2018,3,Cape Canaveral,USA,Other,468.0,Technology Demonstration,True,0.32,SSO
LCH-0000966,MSN-0000966,2018-05-23,2018,2,Plesetsk Cosmodrome,Russia,Electron,3375.0,Science,True,2.75,HEO
LCH-0000967,MSN-0000967,2021-07-21,2021,3,Kennedy Space Center,France,Ariane 5,832.6,Weather,True,2.45,GEO
LCH-0000968,MSN-0000968,1989-05-25,1989,2,Plesetsk Cosmodrome,Russia,Angara,469.7,Technology Demonstration,True,1.01,MEO
LCH-0000969,MSN-0000969,1975-08-02,1975,3,Guiana Space Centre,ESA,Vulcan Centaur,1812.1,Earth Observation,True,2.45,LEO
LCH-0000970,MSN-0000970,2005-06-25,2005,2,Tanegashima Space Center,Japan,Angara,2102.9,Weather,True,5.86,MEO
LCH-0000971,MSN-0000971,2024-10-17,2024,4,Cape Canaveral,USA,Vulcan Centaur,5613.3,Communications,True,16.16,SSO
LCH-0000972,MSN-0000972,2003-02-24,2003,1,Wenchang Space Launch Site,China,Delta IV,2097.0,Earth Observation,True,2.45,LEO
LCH-0000973,MSN-0000973,1997-02-18,1997,1,Baikonur Cosmodrome,Russia,Atlas V,2013.7,Science,True,1.27,LEO
LCH-0000974,MSN-0000974,2011-12-14,2011,4,Cape Canaveral,USA,Vulcan Centaur,2281.8,Earth Observation,True,2.71,LEO
LCH-0000975,MSN-0000975,1979-01-21,1979,1,Wenchang Space Launch Site,China,Soyuz,2050.2,Navigation,True,2.25,GTO
LCH-0000976,MSN-0000976,2020-12-23,2020,4,Xichang Satellite Launch Center,China,Long March 5,5648.9,Communications,True,9.82,LEO
LCH-0000977,MSN-0000977,2011-12-20,2011,4,Kennedy Space Center,USA,Angara,2285.2,Earth Observation,True,5.37,MEO
LCH-0000978,MSN-0000978,1985-11-03,1985,4,Cape Canaveral,France,Electron,698.1,Technology Demonstration,False,2.03,LEO
LCH-0000979,MSN-0000979,1966-05-03,1966,2,Guiana Space Centre,ESA,Electron,2648.1,Navigation,False,4.56,GEO
LCH-0000980,MSN-0000980,2018-10-22,2018,4,Cape Canaveral,USA,Angara,643.4,Earth Observation,True,1.54,SSO
LCH-0000981,MSN-0000981,2017-06-15,2017,2,Satish Dhawan Space Centre,India,Ariane 6,2115.8,Earth Observation,True,3.48,MEO
LCH-0000982,MSN-0000982,1996-09-25,1996,3,Tanegashima Space Center,Japan,NURI,4901.1,Communications,False,3.83,SSO
LCH-0000983,MSN-0000983,1966-07-28,1966,3,Guiana Space Centre,ESA,Soyuz,721.7,Technology Demonstration,True,1.01,GEO
LCH-0000984,MSN-0000984,2023-11-04,2023,4,Satish Dhawan Space Centre,India,Proton-M,2229.6,Earth Observation,True,6.62,SSO
LCH-0000985,MSN-0000985,2021-06-11,2021,2,Cape Canaveral,France,Long March 5,2105.6,Earth Observation,True,5.44,GEO
LCH-0000986,MSN-0000986,2008-06-10,2008,2,Cape Canaveral,USA,Delta IV,1064.4,Weather,True,0.92,GTO
LCH-0000987,MSN-0000987,1993-09-22,1993,3,Guiana Space Centre,ESA,Electron,1415.7,Science,True,1.48,LEO
LCH-0000988,MSN-0000988,2004-01-14,2004,1,Tanegashima Space Center,Japan,Long March 3,2893.6,Earth Observation,True,2.44,GEO
LCH-0000989,MSN-0000989,2005-09-05,2005,3,Kennedy Space Center,France,Atlas V,1707.5,Weather,True,2.1,MEO
LCH-0000990,MSN-0000990,1990-11-21,1990,4,Vandenberg SFB,USA,Long March 5,6538.6,Military Reconnaissance,False,17.87,LEO
LCH-0000991,MSN-0000991,1985-07-22,1985,3,Palmachim Air Base,Israel,Long March 2,2786.3,Science,True,5.25,SSO
LCH-0000992,MSN-0000992,2008-11-15,2008,4,Kennedy Space Center,USA,GSLV,2548.6,Earth Observation,True,1.89,LEO
LCH-0000993,MSN-0000993,2005-11-23,2005,4,Xichang Satellite Launch Center,China,Long March 3,218.4,Technology Demonstration,True,0.61,LEO
LCH-0000994,MSN-0000994,1977-03-20,1977,1,Kennedy Space Center,USA,Angara,1429.3,Weather,True,1.17,SSO
LCH-0000995,MSN-0000995,1993-07-05,1993,3,Wenchang Space Launch Site,China,Long March 5,314.3,Science,True,0.22,GEO
LCH-0000996,MSN-0000996,1979-10-04,1979,4,Vandenberg SFB,USA,Angara,23143.5,Space Station,False,18.6,GEO
LCH-0000997,MSN-0000997,2014-12-07,2014,4,Jiuquan Satellite Launch Center,China,PSLV,1943.7,Navigation,True,2.43,LEO
LCH-0000998,MSN-0000998,1962-08-20,1962,3,Kennedy Space Center,USA,Other,10661.4,Space Station,True,21.42,LEO
LCH-0000999,MSN-0000999,1987-08-01,1987,3,Cape Canaveral,USA,PSLV,1883.1,Earth Observation,True,4.8,LEO
LCH-0001000,MSN-0001000,2018-11-15,2018,4,Tanegashima Space Center,Japan,NURI,1957.2,Science,True,1.88,GEO
LCH-0001001,MSN-0001001,1985-12-23,1985,4,Tanegashima Space Center,Japan,GSLV,1061.6,Science,True,1.51,LEO
LCH-0001002,MSN-0001002,2017-08-14,2017,3,Vandenberg SFB,USA,Long March 7,5202.4,Communications,True,9.94,LEO
LCH-0001003,MSN-0001003,2011-11-20,2011,4,Cape Canaveral,USA,Ariane 5,9281.0,Communications,True,15.28,LEO
LCH-0001004,MSN-0001004,2005-09-07,2005,3,Cape Canaveral,USA,Long March 3,368.4,Earth Observation,True,0.24,HEO
LCH-0001005,MSN-0001005,2014-06-15,2014,2,Jiuquan Satellite Launch Center,China,Other,7234.5,Communications,True,4.85,SSO
LCH-0001006,MSN-0001006,2023-10-22,2023,4,Tanegashima Space Center,Japan,Electron,3080.9,Navigation,True,2.54,GEO
LCH-0001007,MSN-0001007,1997-10-27,1997,4,Baikonur Cosmodrome,Russia,Long March 5,11193.9,Supply/Resupply,True,19.57,LEO
LCH-0001008,MSN-0001008,1989-12-26,1989,4,Guiana Space Centre,ESA,Soyuz,5599.3,Communications,False,13.38,LEO
LCH-0001009,MSN-0001009,2010-02-02,2010,1,Baikonur Cosmodrome,Russia,Atlas V,704.3,Earth Observation,True,0.92,LEO
LCH-0001010,MSN-0001010,2024-10-18,2024,4,Guiana Space Centre,ESA,Vulcan Centaur,7006.2,Communications,True,7.45,LEO
LCH-0001011,MSN-0001011,2006-04-03,2006,2,Satish Dhawan Space Centre,India,H-IIA,2348.4,Navigation,True,6.42,LEO
LCH-0001012,MSN-0001012,2007-02-11,2007,1,Baikonur Cosmodrome,Russia,Electron,4775.4,Communications,False,4.66,GEO
LCH-0001013,MSN-0001013,2005-06-20,2005,2,Cape Canaveral,USA,GSLV,16712.1,Crewed Mission,True,32.14,SSO
LCH-0001014,MSN-0001014,1978-08-08,1978,3,Cape Canaveral,USA,Falcon Heavy,1184.8,Navigation,True,3.03,GEO
LCH-0001015,MSN-0001015,1999-06-03,1999,2,Cape Canaveral,USA,Electron,20835.0,Crewed Mission,False,36.46,GTO
LCH-0001016,MSN-0001016,2013-02-19,2013,1,Vostochny Cosmodrome,Russia,Ariane 6,1974.0,Earth Observation,False,1.15,HEO
LCH-0001017,MSN-0001017,2021-01-05,2021,1,Plesetsk Cosmodrome,Russia,Vulcan Centaur,1316.2,Earth Observation,True,1.43,GEO
LCH-0001018,MSN-0001018,2021-12-27,2021,4,Vandenberg SFB,USA,Falcon Heavy,3480.8,Supply/Resupply,True,6.95,LEO
LCH-0001019,MSN-0001019,2007-03-09,2007,1,Xichang Satellite Launch Center,China,Falcon Heavy,928.6,Earth Observation,True,1.17,LEO
LCH-0001020,MSN-0001020,1966-01-01,1966,1,Tanegashima Space Center,Japan,Vulcan Centaur,8030.6,Supply/Resupply,False,15.11,GEO
LCH-0001021,MSN-0001021,2013-07-23,2013,3,Kennedy Space Center,USA,Long March 7,1387.3,Weather,True,1.91,GEO
LCH-0001022,MSN-0001022,1990-02-19,1990,1,Vostochny Cosmodrome,Russia,Falcon 9,4665.5,Military Reconnaissance,True,13.89,LEO
LCH-0001023,MSN-0001023,2018-02-02,2018,1,Kennedy Space Center,USA,Antares,447.0,Technology Demonstration,True,1.34,LEO
LCH-0001024,MSN-0001024,2012-11-03,2012,4,Kennedy Space Center,USA,Atlas V,6700.5,Communications,True,15.16,LEO
LCH-0001025,MSN-0001025,2020-08-23,2020,3,Tanegashima Space Center,Japan,Angara,4314.0,Military Reconnaissance,True,5.6,GTO
LCH-0001026,MSN-0001026,1997-07-23,1997,3,Taiyuan Satellite Launch Center,China,H3,846.2,Earth Observation,True,2.2,GEO
LCH-0001027,MSN-0001027,2007-02-12,2007,1,Wenchang Space Launch Site,China,Antares,5201.4,Communications,True,2.88,LEO
LCH-0001028,MSN-0001028,2009-05-27,2009,2,Tanegashima Space Center,Japan,Atlas V,7145.2,Communications,True,12.42,LEO
LCH-0001029,MSN-0001029,1971-04-13,1971,2,Vandenberg SFB,France,Electron,2121.7,Communications,True,6.03,GEO
LCH-0001030,MSN-0001030,1996-05-26,1996,2,Kennedy Space Center,UK,H-IIA,1051.0,Weather,True,2.8,LEO
LCH-0001031,MSN-0001031,2015-02-18,2015,1,Satish Dhawan Space Centre,India,Long March 5,5500.5,Military Reconnaissance,False,8.58,GTO
LCH-0001032,MSN-0001032,1991-07-15,1991,3,Guiana Space Centre,ESA,Soyuz,1030.5,Weather,True,0.74,LEO
LCH-0001033,MSN-0001033,1996-07-02,1996,3,Kennedy Space Center,USA,H3,1719.7,Science,True,0.91,LEO
LCH-0001034,MSN-0001034,2019-03-15,2019,1,Cape Canaveral,USA,Ariane 5,726.3,Technology Demonstration,True,2.12,LEO
LCH-0001035,MSN-0001035,1988-01-19,1988,1,Plesetsk Cosmodrome,Russia,Atlas V,1998.2,Deep Space,True,2.29,LEO
LCH-0001036,MSN-0001036,2004-04-21,2004,2,Satish Dhawan Space Centre,India,Electron,3890.4,Communications,True,4.21,LEO
LCH-0001037,MSN-0001037,2005-08-19,2005,3,Wenchang Space Launch Site,China,Long March 2,1442.3,Earth Observation,True,4.24,LEO
LCH-0001038,MSN-0001038,2019-09-23,2019,3,Cape Canaveral,USA,Falcon Heavy,2479.8,Deep Space,True,4.38,GEO
LCH-0001039,MSN-0001039,1987-10-12,1987,4,Kennedy Space Center,USA,NURI,473.4,Earth Observation,True,0.96,LEO
LCH-0001040,MSN-0001040,2021-06-16,2021,2,Plesetsk Cosmodrome,Russia,Angara,4821.5,Supply/Resupply,True,5.92,GEO
LCH-0001041,MSN-0001041,1979-04-26,1979,2,Vandenberg SFB,USA,Long March 2,2006.7,Science,True,5.72,GEO
LCH-0001042,MSN-0001042,2012-03-13,2012,1,Plesetsk Cosmodrome,Russia,Shavit,747.9,Science,True,1.43,LEO
LCH-0001043,MSN-0001043,2015-09-24,2015,3,Unknown Launch Site,Other,Delta IV,1512.0,Science,True,1.95,SSO
LCH-0001044,MSN-0001044,2021-06-08,2021,2,Cape Canaveral,USA,Long March 3,1749.3,Science,True,3.91,LEO
LCH-0001045,MSN-0001045,2000-02-12,2000,1,Vostochny Cosmodrome,Russia,GSLV,10502.4,Supply/Resupply,True,25.9,GEO
LCH-0001046,MSN-0001046,2024-09-08,2024,3,Cape Canaveral,USA,Long March 7,11280.9,Crewed Mission,True,12.98,GEO
LCH-0001047,MSN-0001047,1976-07-17,1976,3,Vandenberg SFB,USA,Antares,2685.3,Communications,False,1.45,GEO
LCH-0001048,MSN-0001048,2007-08-24,2007,3,Kennedy Space Center,USA,Delta IV,2452.0,Communications,True,1.37,LEO
LCH-0001049,MSN-0001049,2005-09-13,2005,3,Cape Canaveral,USA,Long March 7,665.5,Earth Observation,True,0.89,LEO
LCH-0001050,MSN-0001050,2010-02-24,2010,1,Tanegashima Space Center,Japan,Falcon Heavy,6469.8,Communications,True,17.96,LEO
LCH-0001051,MSN-0001051,2001-08-23,2001,3,Xichang Satellite Launch Center,China,Antares,1090.3,Weather,True,0.96,MEO
LCH-0001052,MSN-0001052,2012-08-13,2012,3,Cape Canaveral,USA,Long March 2,615.3,Science,True,0.74,LEO
LCH-0001053,MSN-0001053,2004-01-19,2004,1,Satish Dhawan Space Centre,India,PSLV,1619.2,Communications,True,2.36,SSO
LCH-0001054,MSN-0001054,1970-12-24,1970,4,Satish Dhawan Space Centre,India,Vulcan Centaur,6146.1,Supply/Resupply,True,4.6,LEO
LCH-0001055,MSN-0001055,1992-08-08,1992,3,Cape Canaveral,USA,Electron,3584.4,Earth Observation,True,7.76,LEO
LCH-0001056,MSN-0001056,2019-03-01,2019,1,Kennedy Space Center,USA,H3,314.4,Earth Observation,False,0.58,HEO
LCH-0001057,MSN-0001057,2018-06-07,2018,2,Cape Canaveral,USA,Angara,829.2,Navigation,True,1.03,GTO
LCH-0001058,MSN-0001058,2019-08-14,2019,3,Kennedy Space Center,USA,Ariane 6,289.5,Technology Demonstration,True,0.67,LEO
LCH-0001059,MSN-0001059,1976-04-24,1976,2,Vandenberg SFB,USA,Atlas V,3393.8,Communications,False,7.4,LEO
LCH-0001060,MSN-0001060,2021-01-14,2021,1,Vandenberg SFB,USA,Delta IV,489.3,Technology Demonstration,True,0.48,HEO
LCH-0001061,MSN-0001061,2010-11-21,2010,4,Taiyuan Satellite Launch Center,China,Falcon 9,394.6,Deep Space,True,0.46,LEO
